ITEM: TIMESTEP
10000000
ITEM: NUMBER OF ATOMS
6086
ITEM: BOX BOUNDS pp pp pp
-29.5011 29.5011
-29.5011 29.5011
-29.5011 29.5011
ITEM: ATOMS id mol type x y z 
851 4 2 -5.44159 -8.75637 -3.19432 
855 4 3 -4.68103 -9.69236 -2.24057 
4793 33 3 -4.94911 -8.61263 -3.47079 
4797 33 1 -2.98143 -9.37555 -3.57579 
856 4 3 -4.07639 -8.88834 -3.00092 
857 4 3 -2.94727 -9.01478 -3.74358 
4806 33 2 -3.35073 -9.95131 -2.12679 
780 4 2 -0.292088 -8.81024 -2.15722 
4799 33 2 -0.552187 -9.66512 -3.481 
4796 33 2 -0.919437 -9.48224 -3.68011 
3291 24 1 -12.9269 -6.54765 -2.90094 
3947 28 3 -14.0394 -7.63226 -3.12461 
3942 28 3 -14.5516 -7.37349 -3.53021 
3943 28 2 -13.6658 -7.79055 -3.0214 
3944 28 3 -13.8907 -7.76468 -2.93464 
3941 28 3 -14.3591 -6.43455 -4.14807 
834 4 2 -11.2147 -7.08082 -2.9813 
3991 28 2 -10.982 -6.53966 -4.21146 
3967 28 2 -11.8881 -7.25676 -3.04643 
3963 28 2 -10.9438 -7.58723 -2.17997 
832 4 2 -12.2875 -8.40351 -2.6114 
4084 28 2 -8.88948 -6.49414 -3.25004 
3221 24 3 -8.45157 -7.27513 -3.35378 
3219 24 3 -9.84445 -6.53546 -3.19749 
3220 24 3 -9.83938 -6.95174 -3.33006 
3207 24 2 -8.21513 -6.3926 -3.3041 
3248 24 2 -7.10242 -6.32261 -2.75669 
3241 24 3 -7.87538 -7.85926 -4.19843 
3213 24 2 -6.95655 -7.10943 -2.14032 
3212 24 4 -8.2681 -8.35379 -2.70487 
3215 24 2 -7.62634 -7.10495 -3.67368 
3222 24 3 -7.46117 -8.00052 -3.02366 
877 4 2 -3.13952 -6.96373 -4.1599 
4009 28 3 -4.08901 -7.74219 -2.43095 
4792 33 3 -3.47004 -7.64336 -2.48434 
4795 33 2 -2.34153 -7.45109 -3.80816 
792 4 5 -0.411759 -7.46636 -3.12644 
4012 28 2 -1.83443 -7.98686 -3.96885 
4011 28 2 -1.86477 -8.10681 -3.11299 
793 4 3 -0.438763 -7.98499 -3.99719 
4010 28 3 -2.07535 -6.84846 -3.20342 
4782 33 2 -0.276164 -6.65532 -2.8207 
3940 28 2 -14.9313 -5.12409 -3.56853 
3289 24 2 -13.0172 -5.98442 -2.80322 
3202 24 2 -13.1202 -4.94619 -2.23815 
3156 24 2 -12.6047 -5.16589 -2.59551 
3256 24 2 -10.8563 -5.15285 -3.36642 
4087 28 3 -9.78167 -4.72089 -3.91165 
4086 28 3 -8.87114 -5.2927 -3.43287 
4085 28 2 -9.1985 -5.44489 -3.66693 
3257 24 2 -9.70723 -5.44177 -2.54455 
3251 24 2 -10.1698 -6.05997 -3.46404 
3210 24 3 -9.12534 -6.28699 -2.82844 
3216 24 3 -8.4574 -5.76197 -3.44091 
4092 28 3 -7.90741 -4.23364 -3.31132 
3208 24 3 -7.91068 -6.25262 -2.26411 
3214 24 2 -7.34261 -6.23959 -3.10837 
3218 24 2 -8.33511 -4.54326 -3.15202 
4095 28 2 -7.3271 -4.84457 -2.64043 
3247 24 2 -5.10696 -4.81227 -2.62849 
4224 29 2 -5.15567 -5.37971 -2.14966 
430 2 3 -5.37611 -5.58448 -3.82721 
4097 28 2 -5.70377 -4.40144 -3.59641 
431 2 3 -5.24202 -6.28817 -2.85286 
4791 33 3 -3.36207 -6.24575 -2.58591 
4789 33 3 -3.04014 -5.84201 -2.7569 
4790 33 3 -3.52936 -5.94095 -2.55727 
